file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
utt_0008,0.0,31.289,speaker_C,-38.81562849552573,-51.710262298583984,9.851949722224834,10.586159148921077
utt_0013,0.0,9.791,speaker_C,-50.03727496169561,-57.181442059968646,9.14505714957772,10.994776699816057
utt_0030,0.0,36.461,speaker_A,-45.710453236423476,-51.23343053388824,7.53307306820694,5.29315893052074
utt_0038,0.0,41.04,speaker_A,-46.180262396442494,-52.138151522035955,6.866318685386048,7.555070047119479
utt_0060,0.0,14.021,speaker_A,-48.03964760164051,-53.52761336860307,6.8068089853516955,9.59658408898716
utt_0022,0.0,28.6,speaker_B,-44.49909582604895,-46.42529048310949,6.437846795200122,1.2750882755851158
utt_0046,0.0,2.0,speaker_A,-48.05865234375,-48.73620087759836,5.490719534946883,18.17831592600856
utt_0029,0.0,6.56,speaker_B,-37.18128036871189,-50.28271950615777,5.10585009044339,8.770093013601901
utt_0003,0.0,27.33,speaker_A,-46.415080154592026,-50.657702720771404,4.7184130504668085,12.81101234252231
utt_0001,0.0,12.22,speaker_A,-44.938772248363335,-50.476677739342975,4.622494024170556,15.02633570987891
utt_0055,0.0,12.76,speaker_C,-44.19367775274295,-47.474137822786965,4.523025946928342,9.002778713068615
utt_0049,0.0,8.17,speaker_C,-45.56022414320685,-48.57971954345703,4.403268460987141,3.4585064818430524
utt_0062,0.0,15.24,speaker_A,-46.542317708333336,-48.590192946520716,4.239332774692684,7.3531178874582075
utt_0051,0.0,8.41,speaker_B,-38.96332955558859,-43.61836986915738,4.126284832283879,8.603234083136446
utt_0014,0.0,9.42,speaker_B,-42.826764861995755,-49.05294653085562,3.9710095031547197,-4.691814286452175
utt_0010,0.0,26.529,speaker_C,-41.707126955333585,-47.98222903547616,3.926673010596726,13.795170109715805
utt_0025,0.0,22.08,speaker_A,-43.93976803102355,-49.95345228910446,3.888534289263456,6.547252256700009
utt_0064,0.0,7.49,speaker_A,-45.243694717957275,-50.87499852450389,3.8706668321032303,15.058280315547727
utt_0036,0.0,3.7,speaker_A,-51.35913217905406,-54.808355058942524,3.813916039541162,-2.062906051897226
utt_0002,0.0,5.051,speaker_B,-44.25546875,-47.55272545248775,3.6739737115262083,0.6618174707767359
utt_0059,0.0,10.399,speaker_C,-42.872847806490384,-47.767029210140834,3.670444391039368,12.224955079391957
utt_0053,0.0,13.26,speaker_C,-44.64636653940423,-46.25815217988985,3.590685322548101,10.744941487748594
utt_0054,0.0,5.24,speaker_A,-52.77458924737596,-54.113989903376655,3.392477610976708,14.10200200098491
utt_0044,0.0,20.56,speaker_A,-45.15922148589494,-50.30308946721694,3.372061679743899,10.818079811669776
utt_0041,0.0,9.465,speaker_C,-45.7982403313094,-48.4069095187717,3.264830664308722,6.316368013283579
utt_0032,0.0,8.64,speaker_A,-52.884408456307874,-53.6256396399604,3.2609104078442193,3.0853155483291914
utt_0056,0.0,7.824,speaker_A,-44.607871443414325,-49.290637452723615,3.181511362873945,8.82450324033061
utt_0050,0.0,5.34,speaker_A,-48.02556984433521,-50.923892405126004,3.0791651167606626,13.320007401974156
utt_0015,0.0,7.35,speaker_A,-49.24732674319728,-50.97651762372992,3.0455205264770773,13.630147197009329
utt_0031,0.0,2.04,speaker_C,-47.871543734681374,-48.380167741041916,2.9712616695955605,8.73058638405367
utt_0045,0.0,5.72,speaker_C,-44.33246831293706,-43.57046085357666,2.844017170704414,8.85816987234697
utt_0043,0.0,1.101,speaker_C,-51.54576083096591,-50.52926788330078,2.4960823892937842,4.803140032396836
utt_0018,0.0,5.7,speaker_A,-49.77429413377193,-51.1474664134364,2.4015147365787066,5.3254521906702585
utt_0057,0.0,10.58,speaker_C,-44.23443038161626,-46.20071189572113,2.262729414081853,9.629019412873934
utt_0039,0.0,4.25,speaker_C,-46.8860799632353,-48.281340165571734,2.0902777334698563,4.086383672777021
utt_0047,0.0,0.97,speaker_C,-49.30381664787371,-52.74635359820198,2.073136554653417,14.500865512186632
utt_0020,0.0,3.039,speaker_B,-42.9736328125,-51.307726287841795,1.9411725153140982,0.9741979531905933
utt_0017,0.0,1.93,speaker_C,-48.395669729598445,-50.08599573771159,1.76090443216881,16.736409140537695
utt_0012,0.0,6.59,speaker_B,-40.54807236342944,-56.853830337524414,1.7387052900209514,13.224073007455495
utt_0004,0.0,1.1,speaker_B,-51.981858132102275,-49.86634826660156,1.7354844737342126,6.818691837841637
utt_0026,0.0,1.62,speaker_C,-43.00411723572531,-42.944881439208984,1.6057295836058867,0.24605100914141076
utt_0011,0.0,2.13,speaker_A,-53.91479148327465,-54.23902654647827,1.5199087787893892,-1.994202951799771
utt_0048,0.0,0.78,speaker_A,-39.24696076221955,-51.84472465515137,1.5105723675527623,15.695548468613758
utt_0035,0.0,4.801,speaker_C,-46.455509440104166,-47.977352546923086,1.5009791359418774,13.715347446323154
utt_0019,0.0,1.46,speaker_C,-56.16496548587329,-56.15677885575728,1.5009790756731616,-9.092061398313291
utt_0024,0.0,2.0,speaker_C,-48.8578173828125,-47.65676981608073,1.4320390224856168,8.79974064380702
utt_0006,0.0,9.65,speaker_C,-43.23993280440415,-46.10827569400563,1.3580682281802618,9.222848471504047
utt_0063,0.0,2.5,speaker_B,-39.38217578125,-52.42868741353353,1.3572483607672685,8.113606323898683
utt_0061,0.0,0.8,speaker_C,-49.877908325195314,-48.63913106918335,1.3439157368413424,9.626173306511127
utt_0033,0.0,1.539,speaker_B,-43.37340198863637,-47.60963795979818,1.3287316093721242,11.85768975716599
utt_0042,0.0,2.12,speaker_A,-54.877234117040096,-59.190837694251016,1.2635629412097933,13.544108769095427
utt_0040,0.0,4.841,speaker_B,-40.823318859762395,-55.91456693761489,1.1738304520814766,9.205250124692967
utt_0052,0.0,2.96,speaker_A,-43.06743559966216,-44.319994608561196,1.1490577699954134,5.511673327833996
utt_0058,0.0,0.38,speaker_A,-40.398691277754935,-38.90251159667969,1.1490576016519,4.0020473038742175
utt_0028,0.0,1.29,speaker_C,-41.34551386870155,-45.63891722939231,1.0734874194236357,14.262923002190512
utt_0023,0.0,2.69,speaker_A,-48.61830201556691,-49.64433881971571,0.9489712872954863,7.813742730240801
utt_0016,0.0,1.48,speaker_B,-35.300586597339525,-37.334800720214844,0.9489712872954863,3.8215695003089394
utt_0021,0.0,1.361,speaker_A,-52.555717917049634,-54.26511526107788,0.8703178188934279,5.24968246219024
utt_0005,0.0,0.87,speaker_A,-56.03726091056034,-47.93492725917271,0.8275383459776421,-5.159324409817412
utt_0027,0.0,1.67,speaker_A,-44.91390168880988,-48.17515503732782,0.8099359137989312,14.195849360401844
utt_0007,0.0,0.7,speaker_A,-44.620392717633926,-43.1614990234375,0.7071067811865475,9.703847351553161
utt_0037,0.0,2.14,speaker_B,-34.677305417640184,-55.17172050476074,0.5887142845484953,10.756241005832678
utt_0034,0.0,0.42,speaker_A,-46.37542433965774,-31.86472225189209,0.5326503115231545,1.9061958040811184
