file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
utt_0003,0.0,16.63,Todd,-39.92545944828623,-43.522689549428115,6.239703842535322,13.2543818687593
utt_0005,0.0,20.461,Todd,-40.96728372434018,-45.05835101915442,5.025055452517219,12.500180506976879
utt_0006,0.0,12.25,Simon,-44.532729591836734,-45.86239538280242,4.985836949362991,11.808266967792473
utt_0007,0.0,18.48,Todd,-43.35959060470779,-46.66676139831543,4.517594210401294,11.42149765949522
utt_0013,0.0,21.61,Todd,-41.85110336649699,-44.73352691341687,4.4108826718861165,9.58220439824122
utt_0002,0.0,5.08,Simon,-43.224494032972444,-44.153039889865454,3.298401368015535,7.5216497460586815
utt_0010,0.0,2.261,Simon,-45.04150822732301,-47.59781803804285,3.2830351129712216,12.77194313498888
utt_0008,0.0,3.69,Simon,-42.67079522357724,-47.50795449150933,3.008558853072016,12.589080148384383
utt_0001,0.0,5.64,Todd,-45.36976396276596,-49.43254866966834,2.32582897688381,12.817491957049338
utt_0011,0.0,7.24,Todd,-45.67266811982044,-46.80496820722308,2.1550147737941736,9.039053424387145
utt_0017,0.0,1.18,Todd,-50.13134765625,-51.858116149902344,1.8977617785658736,16.088421320482265
utt_0012,0.0,1.22,Simon,-44.57375048027664,-45.24954700469971,1.8056223838777283,10.069677822071476
utt_0018,0.0,0.48,Simon,-40.92333221435547,-53.36364491780599,1.773111129433698,14.078843793545847
utt_0004,0.0,2.599,Simon,-43.41152719350961,-44.0000433921814,1.699123721416693,10.57857544308014
utt_0009,0.0,2.23,Todd,-43.86331190442825,-44.88448391538678,1.5657447898026666,10.77709817092007
utt_0016,0.0,1.67,Simon,-38.68384812406437,-43.50997428894043,1.2550498437125692,14.862017935421077
utt_0014,0.0,1.83,Simon,-47.008586279030055,-46.060925193454906,1.2411274938903256,3.0726817405296725
utt_0015,0.0,1.36,Todd,-41.92148006663603,-41.850603103637695,1.1822126909315527,12.754713975321614
