file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
utt_0003,0.0,16.63,Todd,-39.925309117558626,-43.522365821982326,6.239703842535322,13.2543818687593
utt_0005,0.0,20.461,Todd,-40.966997342375365,-45.05729753482416,5.025055452517219,12.500180506976879
utt_0006,0.0,12.25,Simon,-44.532694515306126,-45.86235074384497,4.985836949362991,11.808266967792473
utt_0007,0.0,18.48,Todd,-43.359654017857146,-46.666743707935716,4.517594210401294,11.42149765949522
utt_0013,0.0,21.61,Todd,-41.850868376908835,-44.7334340376661,4.4108826718861165,9.58220439824122
utt_0002,0.0,5.08,Simon,-43.22473625123032,-44.15315526326497,3.298401368015535,7.5216497460586815
utt_0010,0.0,2.261,Simon,-45.04163785951327,-47.597947513355926,3.2830351129712216,12.77194313498888
utt_0008,0.0,3.69,Simon,-42.670766111957995,-47.50792778862847,3.008558853072016,12.589080148384383
utt_0001,0.0,5.64,Todd,-45.36980551861702,-49.432573318481445,2.32582897688381,12.817491957049338
utt_0011,0.0,7.24,Todd,-45.67288393473757,-46.80508302961077,2.1550147737941736,9.039053424387145
utt_0017,0.0,1.18,Todd,-50.131372484110166,-51.858160230848526,1.8977617785658736,16.088421320482265
utt_0012,0.0,1.22,Simon,-44.57310210681352,-45.249441146850586,1.8056223838777283,10.069677822071476
utt_0018,0.0,0.48,Simon,-40.92327880859375,-53.363677978515625,1.773111129433698,14.078843793545847
utt_0004,0.0,2.599,Simon,-43.411557241586536,-44.00007724761963,1.699123721416693,10.57857544308014
utt_0009,0.0,2.23,Todd,-43.863202424327355,-44.88443374633789,1.5657447898026666,10.77709817092007
utt_0016,0.0,1.67,Simon,-38.6842252994012,-43.51001663208008,1.2550498437125692,14.862017935421077
utt_0014,0.0,1.83,Simon,-47.00901852800546,-46.060912754224695,1.2411274938903256,3.0726817405296725
utt_0015,0.0,1.36,Todd,-41.92120361328125,-41.85006499290466,1.1822126909315527,12.754713975321614
